Sno,Date,State_Union_Territories,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Total Cases
205,18/03/20,Jammu and Kashmir,3,0,0,0,3
206,18/03/20,Ladakh,8,0,0,0,8
207,18/03/20,Uttar Pradesh,15,1,5,0,16
208,18/03/20,Uttarakhand,1,0,0,0,1
209,18/03/20,West Bengal,1,0,0,0,1
210,19/03/20,Andhra Pradesh,2,0,0,0,2
211,19/03/20,Chattisgarh,1,0,0,0,1
212,19/03/20,Delhi,11,1,3,1,12
213,19/03/20,Haryana,3,14,0,0,17
214,19/03/20,Karnataka,14,0,0,1,14
215,19/03/20,Kerala,25,2,3,0,27
216,19/03/20,Maharashtra,44,3,0,1,47
217,19/03/20,Odisha,1,0,0,0,1
218,19/03/20,Pondicherry,1,0,0,0,1
219,19/03/20,Punjab,2,0,0,1,2
220,19/03/20,Rajasthan,5,2,3,0,7
221,19/03/20,Tamil Nadu,2,0,1,0,2
222,19/03/20,Telengana,4,2,1,0,6
223,19/03/20,Chandigarh,1,0,0,0,1
224,19/03/20,Jammu and Kashmir,4,0,0,0,4
225,19/03/20,Ladakh,8,0,0,0,8
226,19/03/20,Uttar Pradesh,18,1,9,0,19
227,19/03/20,Uttarakhand,1,0,0,0,1
228,19/03/20,West Bengal,1,0,0,0,1
229,20/03/20,Andhra Pradesh,3,0,0,0,3
230,20/03/20,Chhattisgarh,1,0,0,0,1
231,20/03/20,Delhi,16,1,5,1,17
232,20/03/20,Gujarat,5,0,0,0,5
233,20/03/20,Haryana,3,14,0,0,17
234,20/03/20,Karnataka,15,0,1,1,15
235,20/03/20,Kerala,26,2,3,0,28
236,20/03/20,Maharashtra,49,3,0,1,52
237,20/03/20,Odisha,2,0,0,0,2
238,20/03/20,Puducherry,1,0,0,0,1
239,20/03/20,Punjab,2,0,0,1,2
240,20/03/20,Rajasthan,15,2,3,0,17
241,20/03/20,Tamil Nadu,3,0,1,0,3
242,20/03/20,Telengana,8,9,1,0,17
243,20/03/20,Chandigarh,1,0,0,0,1
244,20/03/20,Jammu and Kashmir,4,0,0,0,4
245,20/03/20,Ladakh,10,0,0,0,10
246,20/03/20,Uttar Pradesh,22,1,9,0,23
247,20/03/20,Uttarakhand,3,0,0,0,3
248,20/03/20,West Bengal,2,0,0,0,2
249,21/03/20,Andhra Pradesh,3,0,0,0,3
250,21/03/20,Chhattisgarh,1,0,0,0,1
251,21/03/20,Delhi,25,1,5,1,26
252,21/03/20,Gujarat,7,0,0,0,7
253,21/03/20,Haryana,3,14,0,0,17
254,21/03/20,Himachal Pradesh,2,0,0,0,2
255,21/03/20,Karnataka,15,0,1,1,15
256,21/03/20,Kerala,33,7,3,0,40
257,21/03/20,Madhya Pradesh,4,0,0,0,4
258,21/03/20,Maharashtra,60,3,0,1,63
259,21/03/20,Odisha,2,0,0,0,2
260,21/03/20,Puducherry,1,0,0,0,1
261,21/03/20,Punjab,13,0,0,1,13
262,21/03/20,Rajasthan,15,2,3,0,17
263,21/03/20,Tamil Nadu,3,0,1,0,3
264,21/03/20,Telengana,10,11,1,0,21
265,21/03/20,Chandigarh,1,0,0,0,1
266,21/03/20,Jammu and Kashmir,4,0,0,0,4
267,21/03/20,Ladakh,13,0,0,0,13
268,21/03/20,Uttar Pradesh,23,1,9,0,24
269,21/03/20,Uttarakhand,3,0,0,0,3
270,21/03/20,West Bengal,3,0,0,0,3
271,22/03/20,Andhra Pradesh,5,0,0,0,5
272,22/03/20,Bihar,2,0,0,1,2
273,22/03/20,Chhattisgarh,1,0,0,0,1
274,22/03/20,Delhi,28,1,5,1,29
275,22/03/20,Gujarat,18,0,0,1,18
276,22/03/20,Haryana,7,14,0,0,21
277,22/03/20,Himachal Pradesh,2,0,0,0,2
278,22/03/20,Karnataka,26,0,2,1,26
279,22/03/20,Kerala,45,7,3,0,52
280,22/03/20,Madhya Pradesh,4,0,0,0,4
281,22/03/20,Maharashtra,64,3,0,2,67
282,22/03/20,Odisha,2,0,0,0,2
283,22/03/20,Puducherry,1,0,0,0,1
284,22/03/20,Punjab,21,0,0,1,21
285,22/03/20,Rajasthan,22,2,3,0,24
286,22/03/20,Tamil Nadu,5,2,1,0,7
287,22/03/20,Telengana,11,11,1,0,22
288,22/03/20,Chandigarh,5,0,0,0,5
289,22/03/20,Jammu and Kashmir,4,0,0,0,4
290,22/03/20,Ladakh,13,0,0,0,13
